16.36, 17.55, 13.92, 18.21, (21.48+), 15.42, 17.33, 15.53, 14.39, 17.07
18.66, 15.05, 13.86, (11.38), 17.14, 14.43, 20.38, 14.75, 13.02, 13.77
14.15, 16.14, (11.47), 17.36, 16.22, 14.10, 13.42, 12.40, (24.66), 14.27
14.41, 13.29, 17.90, 15.59, 13.27, 15.52, 17.03+, 14.19, 15.66, 15.07
(21.41), 15.90, 14.60, 14.91, 14.54, 13.49, 16.03+, 15.78, 15.04, 15.87
18.90, 13.29, 18.64, (11.14), 14.20, 16.41, 16.90, 13.35, 17.09, 17.60
16.20, 14.75, 13.20, 15.23, (20.48), 14.05, (12.39), 17.18, (11.73), 16.81
13.24, 17.12, 15.37, 15.70, 15.71, 15.91, 15.51, 15.52, 19.38, 14.74
13.28, 14.10, 14.49, 20.16, 12.61, 16.44, (23.52), 16.53, 15.38, 19.52
17.68, 14.33, 13.59, 15.31, 14.47, 14.19, 14.02, 17.48, 13.25, 13.52
